Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
Aruba,1.A.2,Manufacturing Industries and Construction,NH3,bio,0.0062105825101365,0.0059374848186548,0.0046188339119514,0.005230156598408,0.0048699717173789,0.0042869015285759,0.0037950451976741,0.0041710203087942,0.0039308716900623,0.0040626262548913,0.0040458620371509,0.0036696054656244,0.0039385942118427,0.0032392980912822,0.0030049048433658,0.0031323530317811,0.0036173455767599,0.0030916263923171,0.0030106976854809,0.0028820447796056,0.0026522167783823,0.0027694419667282,0.0024200795472233,0.002410355571311,0.0023553893660137,0.0023755821150152,0.0023834063165806,0.0024844709059661,0.0018189983929786,0.0018650688831042,0.0022410823939928,0.0018717446562097,0.0019153708369615,0.0019492651771741,0.0019501964843675,0.0020123936915558,0.0019964827190433,0.0015201436294046,0.0012999468959489,0.0013286688068956,0.0014678074003658,0.003510517141197,0.0035752754619285,0.0016027347900402,0.0016862901365861,0.0016654296405117,0.0021829661719974,0.0033105156525557,0.0029394712953091,0.0026520288059799,0.0025671723581302,0.002663930257755,0.002663930257755
Aruba,1.A.4,Residential and other sectors,NH3,bio,0.0011489034617095,0.001103667150592,0.0011026387048608,0.0010981169250641,0.0010939002844965,0.0010189430666955,0.00096573060247618,0.00093568880201988,0.00092411658073293,0.0008802234749147,0.0009634580945418,0.0010143470044702,0.0010250523834398,0.00091582083621782,0.00094740148549081,0.0010206122120093,0.0010598059263738,0.00095817412372362,0.0009208499662412,0.00096520364902982,0.0018996374015267,0.0018658624571094,0.0018419986001049,0.0018135120664009,0.0017429287799004,0.0017569409318198,0.001759027759212,0.0017805802198315,0.0019057631031461,0.0019407559777893,0.0017105164172191,0.0016494499933158,0.0017734569212032,0.0018102882746724,0.0017877000692259,0.0018312750000039,0.0018032520563843,0.0015279261482105,0.0018213479845593,0.0029350037080173,0.002828925427216,0.0053721156902934,0.0059848575235213,0.0060334989261158,0.0082942968142373,0.0072461927715074,0.0090186192892744,0.0083940670314273,0.0083238615015383,0.0054578834614117,0.009308589533588,0.0093984639438561,0.0093984639438561
Aruba,1.A.5,Non-Specified,NH3,bio,7.6529129831291e-05,7.4485011015124e-05,7.5183616625284e-05,8.7554025658678e-05,8.8056086735106e-05,8.6593392403054e-05,7.1881093233878e-05,6.9672822096609e-05,6.9591186624516e-05,6.5774766204154e-05,6.4583623164644e-05,6.6314267594211e-05,6.6270721484548e-05,6.0865788635259e-05,9.0893221094602e-05,0.00010097314918379,0.00010353447620611,9.9220537624598e-05,9.1145705065718e-05,8.6592748469666e-05,0.00071204066750703,0.0007104618899823,0.00070080466276029,0.00066908977032587,0.00066837869976068,0.00066984685096792,0.00066387982807853,0.00064666170904404,0.00067102427487235,0.00070635725393319,0.00090784924144963,0.0010175399984806,0.00099275653743532,0.0011913978527786,0.0012461813834097,0.0012694464052038,0.0013402240136887,0.0014805757950559,0.001381123014765,0.0018081649189885,0.0019122133784125,0.0022398123716816,0.0023603234062789,0.0023691158523347,0.00093362769864103,0.0012990070717364,0.0010047425841897,0.0010697798112686,0.0011134943600426,0.00083697129421316,0.0012014049145416,0.001218581641658,0.001218581641658
Aruba,1.B.1,Solid Fuels,NH3,bio,0.00077196484264247,0.00075787483176312,0.00078300964630225,0.00080786194313517,0.00080027572458212,0.0008120159265652,0.00094006895527193,0.0009128484161118,0.00092455452017428,0.0010294848180581,0.00071056010271225,0.00070450047641734,0.00069250656087885,0.00064899136084535,0.00077444160011266,0.00087572604818763,0.00089868023802727,0.00077407665198238,0.00084594099155713,0.00078915765297151,0.0024273046093827,0.0022931397374489,0.0020074741783387,0.0020335136030632,0.0020590947715272,0.0020399578363123,0.0021256839360691,0.0021437483811286,0.0022368363483382,0.0022625036611798,0.0040472031512397,0.0041247177682522,0.0043557439840308,0.0044137034057013,0.0044588503382335,0.0045225507371631,0.004543554050365,0.004524456696636,0.0045482262843418,0.0045342651831642,0.0045227466698871,0.0098541772792434,0.010160873752464,0.010073210762736,0.012810539561591,0.012178443239652,0.012582129893793,0.012811430353758,0.013025144987222,0.013057104698954,0.012560632621145,0.013138762531717,0.013138762531717
Aruba,1.A.1.a,Main Activity Electricity and Heat Production,NH3,fossil,0.00084912989786923,0.0009731829889855,0.0014449228544336,0.0015321899699787,0.0014815335574386,0.0021128223899087,0.0019538733436184,0.0023513210668063,0.0024348262383155,0.0024869551797295,0.0026424794942921,0.0026676128458189,0.0026195657423307,0.002571695875367,0.0030597720356266,0.0032087983243759,0.0034718420917098,0.0039551419338734,0.0043418536505435,0.0058770354673072,0.0046482467164389,0.0052014960431654,0.0059629695429951,0.0059716161730697,0.0067018741128231,0.0073725263082117,0.0049420406655373,0.0080409944351112,0.008138250024065,0.0080352628399176,0.006411504965703,0.0065406037915703,0.0067515899873836,0.0081393769765165,0.0083762274844162,0.0096001550377317,0.010564731150798,0.012045509916822,0.011978662531949,0.012692242140129,0.012424303142987,0.0075963422412364,0.0096925218216882,0.010503388375443,0.01092619391924,0.011273067102317,0.011785358744106,0.010997118435591,0.011427547445038,0.013501506324591,0.011446272962979,0.011030044855234,0.011446273042235
Aruba,1.A.2,Manufacturing Industries and Construction,NH3,fossil,9.5942765283035e-06,1.0995946241438e-05,1.4048087553576e-05,1.2831102638031e-05,1.6153605913301e-05,1.9661553159351e-05,2.355787749035e-05,2.6447709988157e-05,2.9662903325446e-05,2.8756805064854e-05,3.9650339234335e-05,4.956391436623e-05,4.1246820293763e-05,5.3381051814456e-05,5.9031140502516e-05,7.0580176612262e-05,0.000117695662426,0.00011908579920735,0.00011489266295256,0.00019665663239973,0.00049540600815989,0.00051314326222781,0.00046563864925726,0.00042228600527334,0.0004587985798107,0.00053363472776165,0.00034171068489362,0.00051898771287623,0.00052647229466385,0.00056116122023253,0.00034217413529001,0.00040013829801822,0.00091008084318314,0.00088554375291448,0.00083635258109903,0.00076465013610027,0.00073308325952373,0.00065528035825071,0.0005039178165653,0.00073520134890355,0.00069259805696368,0.0006361491087042,0.00098640035777579,0.0012604574653573,0.0013675241315096,0.001273276430641,0.0012077766532646,0.0011103769012821,0.0012625189172115,0.0013974428246907,0.0011848074581954,0.0011417235506247,0.0011848074581954
Aruba,1.A.3.a,Civil Aviation,NH3,fossil,3.9829963743702e-05,4.5648896905583e-05,2.694535978664e-05,3.1796170743282e-05,4.4019936689571e-05,4.4772497746346e-05,5.4379065896133e-05,5.6026792676795e-05,6.6859776472219e-05,6.6949465860144e-05,7.2676620325334e-05,8.0390034723597e-05,8.5766386795433e-05,8.3649176952309e-05,7.9475971870548e-05,0.00013095406709691,0.00013639498360523,0.00016737284907141,0.00016771797715201,0.0002955311684868,8.0453127474334e-05,0.00010589051987382,0.00013504437881477,0.00012990928666153,0.00012751589941449,0.0001499928765017,0.00010154637929479,0.00015951596439445,7.2231336845925e-05,7.7966992253678e-05,6.1494933035795e-05,5.682058697348e-05,5.4723711393835e-05,6.4923787561123e-05,7.0339059779228e-05,7.2916395839595e-05,7.3529727698614e-05,8.1022877262533e-05,7.9979095008193e-05,8.4250935517133e-05,9.0872579199118e-05,7.5582681422238e-05,9.8999494625165e-05,0.00010866611410589,0.00010851161594824,0.00011780669628751,0.00013069539401157,0.0001238312797402,0.00013462470326168,0.00015901414918975,9.2126187360844e-05,0.00011785512256973,0.00015852343951281
Aruba,1.A.3.b_noRES,Road Transportation no resuspension,NH3,fossil,2.1243407273771e-05,2.1885263827593e-05,2.5954181073238e-05,2.9953507728072e-05,4.6010999718653e-05,5.9477619805994e-05,6.306171989371e-05,6.0685013313991e-05,8.0619513574808e-05,7.2798170131794e-05,0.00011113802639199,0.00013326350768223,0.00012714690649033,0.00017348779689485,0.00014418607403775,0.00013289401247446,0.00018451129087563,0.00019963198629335,0.0002219590588672,0.00028144428820553,0.00085229501927885,0.0011118838175628,0.001253672197394,0.0013244720455372,0.0013415380042024,0.0018843859477046,0.0015036072407105,0.0029536981889399,0.003589301322833,0.0041172357859483,0.0041307168695821,0.0045446031572743,0.0049580574423302,0.0061454530639293,0.0065044776291191,0.0072966994864058,0.012761960594742,0.013360564207092,0.012846277407089,0.013486354759713,0.012163853935646,0.0070188197441385,0.008309942578355,0.0096646072409128,0.010451897025424,0.010090071693627,0.011174572213942,0.011114342370381,0.010172036938486,0.011459013742652,0.0097146954719856,0.0093614338184589,0.0097146954719856
Aruba,1.A.4,Residential and other sectors,NH3,fossil,1.0519557799287e-05,1.2056405889847e-05,1.56517715467e-05,1.5926493434808e-05,2.0062213297978e-05,7.216962199295e-05,8.8076739043732e-05,9.5311537366169e-05,0.00010194138427273,0.00010932907696694,0.00011950100030342,0.00012473262908272,0.00013339784963879,0.00014997641783485,0.00025726341750116,0.0002700021471254,0.00029624019358867,0.00031050716802903,0.00037806483144203,0.00051613854755895,0.00046826808406569,0.00069051039759515,0.00065321900017449,0.0006367400133641,0.00070575777492342,0.00074189830809815,0.00048070315935473,0.00076166885146501,0.00072530693828568,0.00072989871250993,0.00046883657070269,0.00045962184353277,0.0004791176245483,0.00051328921784409,0.0005381578880927,0.00058418732314662,0.00063617729783176,0.00062722905850914,0.00056320355435971,0.00058600160019959,0.00061124358238139,0.00058514037557714,0.0010054929748986,0.0016462229526965,0.0012362230878998,0.0012259842581363,0.0014509450442928,0.0012194320915901,0.001465874158526,0.0016784297172605,0.0014937876892529,0.0014394681369164,0.0014937876892529
Aruba,1.A.5,Non-Specified,NH3,fossil,9.5857415017471e-05,0.00010986164295618,0.00013254524793675,0.00017882517957467,0.00016920400107648,0.00014022471116452,0.00015659248026433,0.00019187909343333,0.00022730824599781,0.00028599580294204,0.00023566975543948,0.00026513736159679,0.00024788070077733,0.00027495047451309,0.00025341686081931,0.00027199012273722,0.0002880319729207,0.0003269586741192,0.00038308924541304,0.00054184584737533,0.00027705420945224,0.00027790981931424,0.00028012386747781,0.00028233124824409,0.00025763562173173,0.00032062211568447,0.0001897722399919,0.00032232560764863,0.00034537857737475,0.00013311750878085,0.00018536385555461,0.00022952006464633,0.00022150979551057,0.00027657745546605,0.00034952760881534,0.00022700375655801,9.071517350803e-05,9.7042876423629e-05,9.1822686441955e-05,0.00013680476464083,7.0401200957219e-05,3.4020016949234e-05,7.5231359009624e-05,9.2290576572982e-05,9.5746986383649e-05,8.6938466980564e-05,8.5336185879897e-05,8.9642949463128e-05,0.0001087961569405,0.00012214220019079,0.00010510624040288,0.00010128419529732,0.00010510624040288
