Name;Substance;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022
American Samoa;BC;3,29E-06;3,29E-06;3,46E-06;3,43E-06;2,78E-06;2,78E-06;2,77E-06;2,76E-06;2,10E-06;9,22E-06;4,92E-06;8,84E-06;1,15E-05;1,15E-05;1,02E-05;8,86E-06;7,55E-06;6,23E-06;4,92E-06;4,55E-06;0,000006264;4,64E-06;4,64E-06;6,35E-06;8,79E-06;4,12E-06;4,30E-06;3,91E-06;8,94E-06;1,20E-05;1,30E-05;1,54E-05;1,60E-05;2,85E-05;1,46E-05;1,43E-05;1,43E-05;1,52E-05;1,51E-05;1,53E-05;1,54E-05;1,56E-05;1,47E-05;1,51E-05;1,65E-05;1,76E-05;1,71E-05;1,75E-05;1,78E-05;1,78E-05;1,79E-05;1,79E-05;1,80E-05
Antigua and Barbuda;BC;0,005796892;0,010415735;0,005372809;0,004781209;0,004848816;0,005724506;0,004828077;0,005440114;0,004984485;0,004982343;0,005631477;0,004861511;0,006087402;0,003611943;0,003957955;0,003723742;0,004319936;0,005566;0,006013631;0,006668204;0,012247909;0,012222216;0,011765047;0,012563205;0,012970342;0,013535696;0,01249677;0,012817049;0,01413965;0,014433808;0,009985715;0,010055484;0,011288811;0,011916212;0,011259909;0,011677543;0,01345976;0,015104002;0,017473618;0,020177723;0,022473557;0,013868757;0,018245089;0,021683289;0,023202801;0,023340051;0,023792078;0,020080156;0,022165743;0,025326401;0,021458715;0,020828141;0,021606227
Australia;BC;21,49426005;22,00800877;20,77692889;21,91795273;26,9098576;27,44694834;27,65838335;28,62851129;30,19071756;28,53308984;28,19905463;30,40190682;29,35038726;31,52116557;31,26936829;31,41703898;24,26312176;23,85330364;24,55174376;25,90634473;26,44128733;24,92936569;25,88860017;29,72106698;31,87375288;30,04769245;33,8601923;36,02680741;33,0692436;34,22206988;31,54078178;33,06370049;35,01502532;27,15871092;30,0137292;28,56960095;26,82254208;23,75789864;25,19081009;27,58997115;29,0431789;28,41952546;28,93864678;29,31709681;28,15390021;28,77703748;28,38588691;26,72052024;24,57732471;23,79339995;22,83867542;23,39544203;23,47756127
Austria;BC;4,589626473;4,360760035;4,377761871;4,544414501;4,317073507;4,002868982;4,076735119;3,950600012;4,056489626;4,297395319;3,754625115;3,561153058;3,598512382;3,540837132;3,545369028;3,745221652;4,091057845;4,075995517;5,014618535;4,740010001;4,61003525;5,028829259;4,729054713;4,790984183;4,741775117;4,740715724;5,329332971;4,707169729;4,720255108;4,400656472;4,15486222;4,325297191;4,24771307;4,223766973;4,219729751;4,29946464;4,101429618;4,077509971;3,943810012;3,702318619;3,874874554;3,711705467;3,693736116;3,773768758;3,557911344;3,43555351;3,472014069;3,479810583;3,362533882;3,334750699;3,155347842;3,076910835;2,954439515
Azerbaijan;BC;0,836924433;0,830378332;0,864940547;0,929058345;0,9656731;0,98280045;1,053843311;1,067346704;1,111487563;1,111664871;1,147502806;1,142731068;1,145811809;1,127628677;1,10184263;1,088782099;1,112292357;1,118721373;1,099181543;1,094551894;1,16065439;0,96141586;1,01102514;0,958843157;0,786937654;0,619744102;0,577690879;0,765758847;0,753707863;0,551439612;0,810744384;0,753367538;0,800961077;0,819791221;0,991313191;0,92947256;1,036718321;0,822482526;1,026499733;0,808670622;0,882134923;1,07417847;1,179553379;1,293112119;1,19865804;1,060671797;0,896710622;1,084263841;1,242108572;1,265114573;1,122977825;1,236350555;1,296929351
Burundi;BC;2,508524313;2,442651926;2,530888545;2,50721986;2,518543438;2,653621289;2,709272095;2,723149914;2,841656715;2,938711427;3,031779948;3,095820332;3,241244755;3,331027048;3,441413486;3,524675595;3,663007577;3,798704243;3,918423556;4,047805959;4,330465916;4,420364105;4,329408235;4,399221835;4,512396021;4,795445301;4,954392472;4,994454313;5,171115832;5,145698002;5,271524061;5,339907879;5,427600903;5,5763106;5,792155017;6,034917818;6,116935319;6,318672505;6,360452071;6,485989401;6,651399768;6,798642358;6,876581053;7,33301977;7,359839446;7,386852135;7,459937008;7,503566742;7,577451566;7,683697183;7,776624361;7,809792483;7,823845073
Belgium;BC;9,014412632;7,63513211;7,557580343;7,624353049;6,653689777;5,763399453;6,440109647;6,475528827;6,375943686;6,330842201;6,186510492;5,869308792;6,191929558;5,91015106;6,098876644;6,551166748;6,854772716;6,620362782;7,111309752;8,061338575;8,289663263;8,397166111;8,124021747;7,948543507;8,093582868;7,637859955;7,065062323;6,874556645;6,821682804;6,649091673;6,497292965;6,711700226;5,689818872;5,526278501;5,20280776;4,688974236;4,557549402;4,746997273;4,809060007;4,661430656;5,344650122;4,682837486;4,669126027;4,824853255;4,401367838;4,451935284;4,536159996;4,325024143;4,184499686;4,081089328;3,631961597;3,845645937;3,764400148
Benin;BC;2,064374567;2,043621839;2,122845878;2,134859147;2,143656482;2,193634129;2,157169382;2,240210417;2,316031898;2,361989408;2,393689815;2,428392436;2,508066863;2,573890713;2,636998196;2,726496919;2,762694261;2,797785507;2,888382866;2,952934004;3,022123753;3,082856011;3,144312633;3,21951044;3,286672828;3,364501115;3,513140527;3,51301184;3,519411568;3,758476644;3,298160863;3,388274663;3,50605197;3,574326609;3,684736955;3,758205867;4,158332674;4,492954135;4,604453456;4,873201232;5,190247327;5,323037385;5,492078955;6,268686525;6,427794833;6,755328277;6,806891465;6,977289735;7,417091466;7,663162548;7,888790092;8,021798243;8,092557523
Burkina Faso;BC;4,437515159;4,481072463;4,586411549;4,6623905;4,68847888;4,949552333;4,998254477;5,102744394;5,231958161;5,293493442;5,417782516;5,567885345;5,578167172;5,689746976;5,845064437;5,95343999;6,103296633;6,290151114;6,430613966;6,555343116;7,123433905;7,305667497;7,298516826;7,390923418;7,46547205;7,794853576;7,807890893;7,825164155;8,001991324;7,633631183;7,602410584;8,42755744;8,482966983;8,677068156;8,733281667;8,983279497;9,352944433;9,816072442;10,6335591;10,72944585;11,11560972;11,25236806;11,74128694;12,01197898;12,09262459;12,45437811;12,60386591;12,84715573;13,25626466;13,61725806;13,95411627;14,13543386;14,23363087
Bangladesh;BC;12,99212754;12,91459649;13,34897944;13,8512085;14,18786096;14,73439442;14,95710076;15,37689901;15,69413338;16,09500246;16,68949892;16,82048844;17,41852097;17,98316724;17,93004429;18,44504885;19,03203507;18,02593383;19,15182286;19,8228646;22,75886272;22,74979525;23,23516623;23,3377922;23,5497037;24,16865424;22,43237025;22,45874813;22,83766032;23,43143531;23,6940707;24,42620756;25,08683386;25,25340335;25,72635461;26,18772157;26,40163462;26,71274443;27,00710932;27,03712631;27,30371229;27,71612281;27,70985379;27,65083831;27,74039277;27,87104098;27,77139465;28,16491224;28,59291805;27,67764991;27,46049185;27,51424507;27,84663541
Bulgaria;BC;4,00972142;3,991259806;3,99664908;3,82839898;3,581557097;3,617565496;3,428323591;3,323749661;3,608735668;3,688376147;3,822601833;4,44677536;4,573124939;4,458447951;4,416687344;4,663525944;4,61113472;3,998970153;5,960671654;5,499203551;3,956493199;2,408488737;2,512746831;2,476209982;2,230725609;2,235700831;2,515202269;3,660224811;3,933533946;3,396734493;3,392954001;3,268713201;3,607955924;3,786771843;3,950194441;3,902636261;3,971184039;3,853762101;3,871834245;3,54942799;3,805253582;3,950027029;3,964104121;3,803965391;3,714712165;3,749680894;3,853995337;3,959386628;3,999953113;3,992316575;4,180631339;4,34206473;4,425337447
Bahrain;BC;0,062121519;0,06182858;0,078296714;0,078257053;0,097355518;0,138306717;0,185083739;0,223797948;0,259596496;0,206471224;0,195465636;0,218787599;0,237028148;0,263080517;0,24777328;0,233620571;0,206336293;0,194085264;0,202806832;0,209495401;0,227872029;0,226929322;0,27233405;0,26924071;0,257394825;0,271176485;0,261325764;0,26854348;0,261096051;0,25706947;0,252685166;0,242690792;0,279754123;0,290980052;0,305377065;0,361383605;0,344466641;0,352182144;0,367103112;0,335269271;0,321533857;0,281877196;0,276714803;0,27484404;0,26862442;0,255161613;0,26627757;0,270519002;0,263826197;0,257202697;0,24861129;0,254532274;0,264266366
