Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
Aruba,CO,0.28020387794201,0.28082596507486,0.25735354812072,0.30142985467552,0.2977990977024,0.37692109860823,0.37338053255646,0.42090794739164,0.45232243240371,0.42052089970009,0.57885090441373,0.61471139883934,0.74274936478611,0.77034477152563,0.97038895093026,0.97759869481165,1.0642652333863,1.1695185916452,1.2698051379465,1.5597532461524,3.2788925667844,3.8927781413285,4.7437856488997,4.7468849896927,5.1873704025267,5.6346129713666,3.7684264783703,6.1043181060028,6.0432941120288,6.0586404008298,3.5869209059197,3.4265608956792,3.339029764706,3.7306279123971,4.2601126600065,4.4335944122363,4.0931031852376,4.2720498536304,4.2687320730888,4.8048833047427,4.632437701346,3.3869579865713,3.8781564778587,4.2804091740245,4.4082002885993,4.2725193626727,4.305408314397,4.3135795886977,3.990408084272,4.2299307731365,3.8143356943791,3.7295476550995,3.9449098336457
Afghanistan,CO,85.720305508357,85.25295666094,97.781562346823,98.224938918781,99.792068369055,103.70559958423,106.05177509535,103.1398568451,106.83263136674,105.06012199017,103.43137572297,104.54444356407,102.32276954343,105.38961521289,101.42427789766,100.71938018278,94.964879239744,104.09910982429,97.244874674217,95.383136786848,98.680483336318,101.25967713943,90.55470901802,102.48561329147,109.11228737361,136.04386654694,150.65405465818,161.25604174866,167.55364921691,162.83205366588,162.87484122047,160.30422872902,181.38414786384,195.01650161579,178.4549381835,210.84566764096,202.46857717396,221.81398712921,217.08230607601,272.84001673472,286.03733003378,297.01743066497,304.23081201964,302.56534211074,303.49118977531,291.18893797426,281.28010453894,279.59569215692,267.01844192659,288.92362026084,286.1894379979,284.31260575685,286.25830923992
Angola,CO,839.5470709831,839.77111815077,857.38445986181,865.8057358639,870.61428183791,868.12762612579,868.94142633968,894.93591087465,919.20670260916,928.7866836402,947.36704381576,954.84538551887,969.09013574355,983.81641393812,1003.9757769362,1022.339660432,1042.9591175761,1063.2391893142,1082.7227140293,1103.2243743853,1106.5904949394,1132.2517802526,1155.2403916905,1173.8446638785,1193.7320158419,1206.6531226505,1231.6911129306,1246.3405936256,1268.3865635759,1284.2321739292,1299.6757465636,1326.8565741828,1353.3276574267,1367.2113213944,1416.4448080799,1412.869211144,1434.4248921356,1482.0691021225,1507.5245424946,1592.5773610768,1610.6346326567,1666.5998887613,1669.1676901047,1745.285250075,1771.9820524681,1796.0401449903,1836.4478621891,1826.4939284125,1832.3518934962,1853.8208442802,1851.3206854097,1900.0888269438,1894.0735620343
Anguilla,CO,0.099344299958273,0.099334960383598,0.10033477338263,0.092748794720072,0.10149017714955,0.096770749023562,0.082580701724795,0.090015455585389,0.11350417000927,0.11996279300655,0.21718445325807,0.32338908719288,0.38094710766674,0.31790547835835,0.2886127438693,0.17256914236702,0.13159570810308,0.26386948665475,0.27275240690976,0.2636809038931,0.26088670321986,0.35690412913518,0.39903450635739,0.47363420034882,0.640300902497,0.77130024048118,0.69625430808834,0.57054552795856,0.45862238638919,0.40161072999211,0.40715416114454,0.4403813086072,0.26430386374338,0.34613339362366,0.33978049982799,0.36290604595423,0.27162098060437,0.28445823181768,0.37852380956933,0.54210379607816,0.5813247509925,0.60761527931527,0.58912400977776,0.62706556015231,0.58780316946224,0.58837069229966,0.59533060533511,0.61489297117837,0.4636735991376,0.45262798426078,0.37357961857287,0.36006175676749,0.37360798497969
Int. Aviation,CO,212.31354050206,206.95975055255,213.78155091588,217.02055708324,203.13043484783,190.92472663292,185.73883619987,196.5157348772,197.34841365337,197.67860722549,190.10473797969,183.13809562339,183.06559657861,178.02641006499,177.78285462487,175.63836244105,185.19146975105,187.42883826118,189.27670017752,189.69468440918,161.14973520284,148.74543535077,145.40523630363,139.82191098047,138.08122451866,134.15189310561,139.5938170335,146.40454955436,151.23004351694,157.65590908546,163.39759222788,160.69543165432,170.21115724709,169.2617551546,182.80129006363,194.34407060647,201.53733621069,207.88388109918,211.40947531067,201.55141755416,213.44202754181,220.29119580974,220.3666437305,224.05421961038,231.36686425157,244.64909919854,255.15916934884,271.36002857567,283.45638412339,288.07461746549,137.42203863573,158.56389073353,195.56213190469
Albania,CO,124.11192458218,124.03790935119,127.01673652624,122.02160986072,126.53212043667,129.49257126519,143.26478993243,147.68419869189,161.80569767355,177.6120934052,184.82746157313,168.53921162542,166.68654448075,168.08342703526,205.59394689015,172.60651289238,163.08816030421,169.2817221232,185.61727003145,155.13934952262,134.38156926175,107.04819121736,92.501002336531,101.39286730658,117.27794070621,119.1778409359,117.16338299946,107.05661041905,108.06692102309,101.8443550478,98.698115024195,98.104023164724,126.7405722,101.10377838574,112.24093320404,113.35123035553,109.37007139039,85.297501140932,71.736385819991,75.872972550144,76.199636866821,69.349883444001,64.039434909535,69.006028841288,68.461261053392,71.018947355664,66.102924505019,67.128236223754,74.15677776688,66.424425985901,62.259196033974,64.362928316526,65.549847837895
Netherlands Antilles,CO,38.437501506394,36.134852277056,34.862894582976,38.148479444583,36.696118206109,36.183907402972,36.577805149258,36.296889107657,54.282291234248,48.402436129303,47.170918034679,43.890723371984,34.985602135693,28.925831069083,33.641511849398,31.128989215151,30.100533978167,30.105561657019,29.342992381736,23.002944727601,22.024292287244,23.831147181301,25.928944243359,15.300160066927,19.592975083042,20.55380978442,21.191862322184,23.584962241438,24.05506095995,24.587844469931,24.126396771592,23.25388555037,23.060044310662,22.854581390024,24.590976123691,23.878406667823,21.242182506078,21.402305245965,21.375342193979,22.198581883499,20.050295496683,20.65576437108,19.056479449378,17.303513246447,17.332039234364,16.702173226576,16.220703616716,15.144218067544,12.423546675446,11.538581412146,8.9283962151711,8.604086625534,8.9497485654314
United Arab Emirates,CO,63.49073765459,82.361543854013,92.951709200665,117.12398689134,122.38749525205,127.93755600806,160.36184494014,162.18303568989,185.00958983926,146.02380484423,188.32829498792,184.80778834944,189.63338247677,193.88963503028,220.48784839561,202.41704814822,192.96497309188,182.90383616279,186.33214488805,195.43860287179,234.58436364351,252.33628822277,248.43966456857,259.98913959425,270.96118652918,301.23700201196,308.64963096659,338.84220546815,338.33732733569,349.49306369985,407.29481897956,465.07963870075,524.19673609886,537.63727372114,538.53719476763,530.73607190118,524.31209815525,503.30651978682,533.23100440787,544.18466185545,612.40256435655,652.51229782379,725.72915128047,785.18450795694,860.61995544072,837.64129070426,859.38736661327,904.08085486306,881.52349702129,858.5497904973,860.75799151365,901.14894981056,943.04562655098
Argentina,CO,1961.0485645376,2005.4240373535,2058.1203554951,2209.9275687144,2134.2131809577,2009.8597235936,1927.0629309284,2018.1425068071,2225.4428245644,2358.912563655,2376.5656206846,2457.4320554839,2666.8129960742,2620.4502715134,2687.01508448,2441.1722521318,2433.6554890697,2441.7503351384,2469.2546536325,2189.0858197849,2392.8180548115,2520.7069546417,2714.5894070426,2719.0416260018,2579.5986808829,2679.8926320818,2881.578276313,2903.5377340731,3230.8324269473,3056.6184013149,3028.3506008295,3199.0686481704,3165.4379684296,3340.9372413911,3422.5156704141,3687.397501,3688.8249124806,4089.2359109228,4285.9990001932,3531.0558447758,4374.7087222443,4593.5053604959,4232.5016673522,4608.2999421984,4644.0208813188,5000.860772823,4916.6625959006,4957.3736486082,4238.5416034928,4825.8157288055,4464.7759456529,4599.475023128,4337.3543576336
Armenia,CO,84.972195292546,84.441985348074,88.735523030926,93.338283215706,95.627939540726,100.09900622718,105.42570488436,105.73692963313,108.40509736429,110.56758805284,114.42319545435,113.09161550302,113.30035137196,111.96575407515,111.0344441219,112.17868216181,115.62843263333,117.61707748938,119.11229528716,120.55849327611,129.51545650527,114.73874274034,67.121745959069,37.381850471475,18.657858903979,23.679942547638,24.515117659122,29.240274936798,29.828840655353,25.396390281619,36.036220438256,35.777578512499,30.522087570832,31.581162188854,30.36696171788,31.382221660253,30.158323968445,36.070814889782,37.518181607587,30.215483859975,29.015249380511,31.58569069725,35.800768472327,33.294623619104,31.07240731246,48.079000315418,56.770055775329,57.246376110485,46.559788899001,43.887512544521,44.333364566637,45.447383374094,43.989233296585
